ЗМІ;Рік;Місяць;День;Назва;Колєсніков;Солошенко;Мазур;Шилова;Антипов;Мороз;Вілкул;Резник;Партія регіонів;УДАР;КПУ;Батьківщина;Виконком;Кошти;Освіта;Газета;Комунальна власність;Референдум;ЖКХ;Комісія;Податки;Підприємництво;Земля;Бюджет;ЗМІ;Народ;Соціально-економічний розвиток;Медицина;Звалище;Дитсадки;Рейдерство;Прокуратура;Корупція;Сесія;Будівництво;Транспорт;Новомосковськ;Регламент;Звернення;Охорона;Проблема;Красть;Громадськість;Кладовище;Благоустрій;Допомога;Спорт;Школа;Кількість слів;Лексична насиченість
nmsk.dp.ua;2012;12;12;Красотки из Днепропетровска победили на Мини-мисс мира;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1
nmsk.dp.ua;2013;3;11;Масленица 2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1,3333333333
nmsk.dp.ua;2013;9;12;Харчування школярів має бути правильним;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1
nmsk.dp.ua;2013;7;11;Спекотний день Конституції;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;1
nmsk.dp.ua;2012;8;27;Несовершеннолетний новомосковец пинком отправил мужчину на больничную койку;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1
nmsk.dp.ua;2013;7;10;10 сессия Новомосковского горсовета (июль 2013);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;1
nmsk.dp.ua;2013;8;31;31 сессия Новомосковского горсовета (август 2013);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;1
nasamari;2012;10;7;Охрана Я;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;1,6666666667
Новомосковськ сьогодні;2012;9;1;Дерев'яний собор Новомосковська обіцяють зберегти;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;1,375
nasamari;2012;11;4;Чесні ви;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1,4444444444
