№ Выпуска;Дата;Солошенко;Мороз;Резник;Мазур
№1;04.01.2012;1;1;0;0
№2;11.01.2012;0;1;0;0
№3;14.01.2012;0;1;0;1
№4;18.01.2012;0;0;1;0
№6;25.01.2012;1;0;0;1
№7;28.01.2012;0;0;0;1
№8;01.02.2012;0;1;0;0
№9;04.02.2012;1;1;0;1
№10;08.02.2012;0;0;0;1
№11;11.02.2012;1;1;0;1
№12;15.02.2012;1;1;0;0
№13;18.02.2012;0;1;0;0
№14;22.02.2012;0;0;0;0
№15;25.02.2012;1;1;0;1
№16;29.02.2012;0;1;0;0
№17;03.03.2012;1;1;0;1
№18-19;07.03.2012;1;1;0;1
№20;14.03.2012;1;0;0;1
№21;17.03.2012;0;1;0;1
№22;22.03.2012;0;1;0;1
№23;24.03.2012;0;0;0;0
№24;28.03.2012;0;0;0;0
№25;31.03.2012;0;0;0;0
№26-27;04.04.2012;1;1;0;1
№28-29;07.04.2012;1;1;0;0
№30;11.04.2012;1;1;0;1
№31;14.04.2012;1;1;1;1
№32;18.04.2012;0;0;0;1
№33;21.04.2012;1;0;0;0
№36;28.04.2012;1;0;0;0
№37-38;05.05.2012;1;1;1;1
№39;09.05.2012;1;1;0;1
№40;12.05.2012;1;1;0;0
№41;16.05.2012;1;1;0;1
№42;19.05.2012;1;0;0;0
№43;23.05.2012;0;1;0;1
№45;30.05.2012;1;0;0;0
№46;02.06.2012;1;0;0;0
№47;06.06.2012;1;0;0;0
№48;09.06.2012;1;0;0;0
№49;13.06.2012;1;1;0;1
№50;16.06.2012;1;1;0;1
№51;20.06.2012;1;0;0;0
№53-54;27.06.2012;1;0;0;0
№55;04.07.2012;1;0;0;0
№56;07.07.2012;0;0;0;0
№57-58;11.07.2012;1;1;0;0
№59;14.07.2012;1;1;1;1
№60;18.07.2012;1;0;0;0
№61-62;21.07.2012;1;0;0;0
№63;25.07.2012;1;0;0;0
№64;28.07.2012;1;1;1;1
№65;01.08.2012;1;1;0;0
№66;04.08.2012;0;0;0;0
№67;08.08.2012;1;0;0;0
№68;11.08.2012;0;0;0;0
№69;15.08.2012;1;0;0;0
№70;18.08.2012;1;0;0;0
№71;22.08.2012;1;0;0;0
№72;29.08.2012;1;0;0;0
№73;01.09.2012;1;1;1;1
№74;05.09.2012;1;0;0;0
№75;08.09.2012;1;1;1;1
№76;12.09.2012;1;0;0;0
№77;15.09.2012;0;1;0;0
№78;19.09.2012;1;0;0;0
№79;22.09.2012;1;1;1;1
№80;26.09.2012;1;0;0;0
№81;29.09.2012;1;1;0;1
№82;01.10.2012;0;1;1;1
№83;03.10.2012;1;0;0;0
№84;10.10.2012;1;0;0;0
№85;13.10.2012;1;1;0;1
№86;17.10.2012;1;0;0;0
№87;18.10.2012;0;0;0;0
№88;20.10.2012;1;1;0;0
№89;24.10.2012;1;0;0;0
№90;26.10.2012;1;1;0;0
№91;31.10.2012;0;0;0;0
№92;03.11.2012;1;1;1;1
№93;07.11.2012;0;0;0;0
№94;11.11.2012;0;1;0;0
№96;17.11.2012;0;1;0;0
№97;21.11.2012;0;0;0;0
№98;21.11.2012;0;0;0;0
№99;21.11.2012;0;0;0;0
№100;01.12.2012;0;0;0;0
№101;05.12.2012;0;0;0;0
№102;08.12.2012;0;1;0;1
№104;15.12.2012;0;0;1;0
№105;19.12.2012;0;0;0;0
№106;22.12.2012;1;0;0;0
№3;12.01.2013;0;0;0;0
№5;19.01.2013;1;1;0;1
№6;23.01.2013;0;0;0;1
№7;26.01.2013;0;1;0;1
№8;30.01.2013;0;0;0;1
№9;02.02.2013;0;0;0;1
№10;06.02.2013;1;1;0;1
№11;09.02.2013;1;1;0;1
№12;13.02.2013;0;0;0;0
№13;16.02.2013;0;0;0;1
№14;20.02.2013;0;1;0;1
№15;23.02.2013;0;0;0;1
№16;27.02.2013;0;0;0;0
№17;02.03.2013;0;0;0;0
